answered,blockNum,choice,condition,corResp,correct,correct_response,explo,fb,internal_node_id,isStable_1,isStable_2,isStable_3,key_press,newBlock,part,persev,persevResp,rt,sessNum,stableAS,stimulus,subject,task,time_elapsed,training,trap,trial_index,trial_type,trialsInBlock
true,1,1,0,1,true,z,false,true,0.0-2.0-0.0-0.0-3.0,0,0,0,90,true,stim,false,-1,793,1,0,0,78689,WMM2,155661,false,false,136,image-keyboard-response,1
true,1,1,0,0,false,q,true,false,0.0-2.0-0.0-0.1-3.1,0,0,0,90,false,stim,false,-1,914,1,0,1,78689,WMM2,158092,false,false,139,image-keyboard-response,2
true,1,1,0,0,false,q,true,false,0.0-2.0-0.0-0.2-3.2,0,0,0,90,false,stim,false,-1,488,1,0,1,78689,WMM2,160101,false,false,142,image-keyboard-response,3
true,1,0,0,1,false,z,true,false,0.0-2.0-0.0-0.3-3.3,0,0,0,81,false,stim,false,-1,973,1,0,0,78689,WMM2,162602,false,false,145,image-keyboard-response,4
true,1,1,0,1,true,z,false,true,0.0-2.0-0.0-0.4-3.4,0,0,0,90,false,stim,false,-1,664,1,0,2,78689,WMM2,164787,false,false,148,image-keyboard-response,5
true,1,1,0,1,true,z,false,true,0.0-2.0-0.0-0.5-3.5,0,0,0,90,false,stim,false,-1,839,1,0,2,78689,WMM2,167148,false,false,151,image-keyboard-response,6
true,1,2,0,1,false,z,true,false,0.0-2.0-0.0-0.6-3.6,0,0,0,68,false,stim,false,-1,948,1,0,0,78689,WMM2,169606,false,false,154,image-keyboard-response,7
true,1,0,0,0,true,q,false,true,0.0-2.0-0.0-0.7-3.7,0,0,0,81,false,stim,false,-1,505,1,0,1,78689,WMM2,171626,false,false,157,image-keyboard-response,8
true,1,1,0,1,true,z,false,true,0.0-2.0-0.0-0.8-3.8,0,0,0,90,false,stim,false,-1,1018,1,0,2,78689,WMM2,174157,false,false,160,image-keyboard-response,9
true,1,1,0,1,true,z,false,true,0.0-2.0-0.1-0.9-3.9,0,0,0,90,false,stim,false,-1,539,1,0,2,78689,WMM2,176220,false,false,163,image-keyboard-response,10
true,1,0,0,0,true,q,false,true,0.0-2.0-0.1-0.10-3.10,0,0,0,81,false,stim,false,-1,761,1,0,1,78689,WMM2,178496,false,false,166,image-keyboard-response,11
