answered,blockNum,choice,condition,corResp,correct,correct_response,explo,fb,internal_node_id,isStable_1,isStable_2,isStable_3,key_press,newBlock,part,persev,persevResp,rt,sessNum,stableAS,stimulus,subject,task,time_elapsed,training,trap,trial_index,trial_type,trialsInBlock
true,1,0,0,0,true,q,false,true,0.0-2.0-0.0-0.0-3.0,0,0,0,81,true,stim,false,-1,704.5,1,0,0,70522,task1,1919117,false,false,79,image-keyboard-response,1
true,1,1,0,2,false,d,true,false,0.0-2.0-0.0-0.1-3.1,0,0,0,90,false,stim,false,-1,400.6000000014901,1,0,1,70522,task1,1921032,false,false,82,image-keyboard-response,2
true,1,2,0,2,true,d,false,true,0.0-2.0-0.0-0.2-3.2,0,0,0,68,false,stim,false,-1,615.2000000029802,1,0,1,70522,task1,1923160,false,false,85,image-keyboard-response,3
true,1,1,0,1,true,z,false,true,0.0-2.0-0.0-0.3-3.3,0,0,0,90,false,stim,false,-1,387.0,1,0,2,70522,task1,1925060,false,false,88,image-keyboard-response,4
true,1,1,0,1,true,z,false,false,0.0-2.0-0.0-0.4-3.4,0,0,0,90,false,stim,false,-1,496.0,1,0,2,70522,task1,1927070,false,true,91,image-keyboard-response,5
true,1,1,0,1,true,z,false,true,0.0-2.0-0.0-0.5-3.5,0,0,0,90,false,stim,false,-1,611.1999999955297,1,0,2,70522,task1,1929194,false,false,94,image-keyboard-response,6
true,1,2,0,2,true,d,false,true,0.0-2.0-0.0-0.6-3.6,0,0,0,68,false,stim,false,-1,820.6000000014901,1,0,1,70522,task1,1931524,false,false,97,image-keyboard-response,7
true,1,0,0,0,true,q,false,true,0.0-2.0-0.0-0.7-3.7,0,0,0,81,false,stim,false,-1,517.3999999985099,1,0,0,70522,task1,1933555,false,false,100,image-keyboard-response,8
true,1,0,0,0,true,q,false,false,0.0-2.0-0.0-0.8-3.8,0,0,0,81,false,stim,false,-1,592.3000000044703,1,0,0,70522,task1,1935659,false,true,103,image-keyboard-response,9
true,1,1,0,1,true,z,false,true,0.0-2.0-0.1-0.9-3.9,0,0,0,90,false,stim,false,-1,814.8999999985099,1,0,2,70522,task1,1937983,false,false,106,image-keyboard-response,10
true,1,0,0,0,true,q,false,true,0.0-2.0-0.1-0.10-3.10,0,0,0,81,false,stim,false,-1,1034.3000000044703,1,0,0,70522,task1,1940528,false,false,109,image-keyboard-response,11
true,1,0,0,0,true,q,false,true,0.0-2.0-0.1-0.11-3.11,0,0,0,81,false,stim,false,-1,533.2000000029802,1,0,0,70522,task1,1942567,false,false,112,image-keyboard-response,12
true,1,2,0,2,true,d,false,true,0.0-2.0-0.1-0.12-3.12,0,0,0,68,false,stim,false,-1,916.3000000044703,1,0,1,70522,task1,1944994,false,false,115,image-keyboard-response,13
true,1,1,0,1,true,z,false,true,0.0-2.0-0.1-0.13-3.13,0,0,0,90,false,stim,false,-1,596.1000000014901,1,0,2,70522,task1,1947100,false,false,118,image-keyboard-response,14
true,1,2,0,2,true,d,false,true,0.0-2.0-0.1-0.14-3.14,0,0,0,68,false,stim,false,-1,834.5,1,0,1,70522,task1,1949448,false,false,121,image-keyboard-response,15
true,1,1,0,1,true,z,false,true,0.0-2.0-0.1-0.15-3.15,0,0,0,90,false,stim,false,-1,724.2000000029802,1,0,2,70522,task1,1951686,false,false,124,image-keyboard-response,16
true,1,0,0,0,true,q,false,true,0.0-2.0-0.1-0.16-3.16,0,0,0,81,false,stim,false,-1,522.0,1,0,0,70522,task1,1953721,false,false,127,image-keyboard-response,17
true,1,2,0,2,true,d,false,true,0.0-2.0-0.1-0.17-3.17,0,0,0,68,false,stim,false,-1,610.3999999985099,1,0,1,70522,task1,1955840,false,false,130,image-keyboard-response,18
true,1,2,0,2,true,d,false,true,0.0-2.0-0.2-0.18-3.18,0,0,0,68,false,stim,false,-1,1022.8999999985099,1,0,1,70522,task1,1958372,false,false,133,image-keyboard-response,19
true,1,2,0,2,true,d,false,true,0.0-2.0-0.2-0.19-3.19,0,0,0,68,false,stim,false,-1,518.2999999970198,1,0,1,70522,task1,1960404,false,false,136,image-keyboard-response,20
true,1,0,0,0,true,q,false,true,0.0-2.0-0.2-0.20-3.20,0,0,0,81,false,stim,false,-1,639.5,1,0,0,70522,task1,1962551,false,false,139,image-keyboard-response,21
true,1,1,0,1,true,z,false,true,0.0-2.0-0.2-0.21-3.21,0,0,0,90,false,stim,false,-1,642.2999999970198,1,0,2,70522,task1,1964702,false,false,142,image-keyboard-response,22
true,1,1,0,1,true,z,false,true,0.0-2.0-0.2-0.22-3.22,0,0,0,90,false,stim,false,-1,530.5,1,0,2,70522,task1,1966739,false,false,145,image-keyboard-response,23
true,1,1,0,1,true,z,false,false,0.0-2.0-0.2-0.23-3.23,0,0,0,90,false,stim,false,-1,516.1000000014901,1,0,2,70522,task1,1968768,false,true,148,image-keyboard-response,24
