answered,blockNum,choice,condition,corResp,correct,correct_response,explo,fb,internal_node_id,isStable_1,isStable_2,isStable_3,key_press,newBlock,part,persev,persevResp,rt,sessNum,stableAS,stimulus,subject,task,time_elapsed,training,trap,trial_index,trial_type,trialsInBlock
true,1,0,0,1,false,z,true,false,0.0-2.0-0.0-0.0-3.0,0,0,0,81,true,stim,false,-1,1179,0,0,0,19096,task3,154364,false,false,85,image-keyboard-response,1
true,1,0,0,0,true,q,false,true,0.0-2.0-0.0-0.1-3.1,0,0,0,81,false,stim,false,-1,1567,0,0,1,19096,task3,157472,false,false,88,image-keyboard-response,2
true,1,1,0,1,true,z,false,true,0.0-2.0-0.0-0.2-3.2,0,0,0,90,false,stim,false,-1,2486,0,0,0,19096,task3,161492,false,false,91,image-keyboard-response,3
true,1,1,0,1,true,z,false,true,0.0-2.0-0.0-0.3-3.3,0,0,0,90,false,stim,false,-1,793,0,0,0,19096,task3,163818,false,false,94,image-keyboard-response,4
true,1,2,0,0,false,q,true,false,0.0-2.0-0.0-0.4-3.4,0,0,0,68,false,stim,false,-1,2260,0,0,1,19096,task3,167601,false,false,97,image-keyboard-response,5
true,1,0,0,0,true,q,false,true,0.0-2.0-0.0-0.5-3.5,0,0,0,81,false,stim,false,-1,787,0,0,1,19096,task3,169921,false,false,100,image-keyboard-response,6
true,1,2,0,0,false,q,true,false,0.0-2.0-0.0-0.6-3.6,0,0,0,68,false,stim,false,-1,1049,0,0,2,19096,task3,172504,false,false,103,image-keyboard-response,7
true,1,1,0,0,false,q,true,false,0.0-2.0-0.0-0.7-3.7,0,0,0,90,false,stim,false,-1,643,0,0,2,19096,task3,174679,false,false,106,image-keyboard-response,8
true,1,0,0,0,true,q,false,true,0.0-2.0-0.0-0.8-3.8,0,0,0,81,false,stim,false,-1,1073,0,0,2,19096,task3,177289,false,false,109,image-keyboard-response,9
true,1,0,0,0,true,q,false,true,0.0-2.0-0.1-0.9-3.9,0,0,0,81,false,stim,false,-1,684,0,0,1,19096,task3,179508,false,false,112,image-keyboard-response,10
true,1,1,0,1,true,z,false,true,0.0-2.0-0.1-0.10-3.10,0,0,0,90,false,stim,false,-1,906,0,0,0,19096,task3,181942,false,false,115,image-keyboard-response,11
true,1,0,0,0,true,q,false,true,0.0-2.0-0.1-0.11-3.11,0,0,0,81,false,stim,false,-1,655,0,0,1,19096,task3,184130,false,false,118,image-keyboard-response,12
true,1,0,0,0,true,q,false,true,0.0-2.0-0.1-0.12-3.12,0,0,0,81,false,stim,false,-1,686,0,0,2,19096,task3,186340,false,false,121,image-keyboard-response,13
true,1,1,0,0,false,q,true,false,0.0-2.0-0.1-0.13-3.13,0,0,0,90,false,stim,false,-1,250,0,0,2,19096,task3,188127,false,false,124,image-keyboard-response,14
true,1,1,0,1,true,z,false,true,0.0-2.0-0.1-0.14-3.14,0,0,0,90,false,stim,false,-1,2357,0,0,0,19096,task3,192013,false,false,127,image-keyboard-response,15
true,1,1,0,1,true,z,false,true,0.0-2.0-0.1-0.15-3.15,0,0,0,90,false,stim,false,-1,887,0,0,0,19096,task3,194441,false,false,130,image-keyboard-response,16
true,1,0,0,0,true,q,false,true,0.0-2.0-0.1-0.16-3.16,0,0,0,81,false,stim,false,-1,449,0,0,2,19096,task3,196413,false,false,133,image-keyboard-response,17
true,1,0,0,0,true,q,false,true,0.0-2.0-0.1-0.17-3.17,0,0,0,81,false,stim,false,-1,492,0,0,1,19096,task3,198436,false,false,136,image-keyboard-response,18
true,1,0,0,0,true,q,false,true,0.0-2.0-0.2-0.18-3.18,0,0,0,81,false,stim,false,-1,1168,0,0,2,19096,task3,201143,false,false,139,image-keyboard-response,19
true,1,0,0,0,true,q,false,true,0.0-2.0-0.2-0.19-3.19,0,0,0,81,false,stim,false,-1,2990,0,0,1,19096,task3,205665,false,false,142,image-keyboard-response,20
true,1,0,0,0,true,q,false,true,0.0-2.0-0.2-0.20-3.20,0,0,0,81,false,stim,false,-1,1647,0,0,2,19096,task3,208841,false,false,145,image-keyboard-response,21
true,1,1,0,1,true,z,false,true,0.0-2.0-0.2-0.21-3.21,0,0,0,90,false,stim,false,-1,921,0,0,0,19096,task3,211296,false,false,148,image-keyboard-response,22
true,1,1,0,1,true,z,false,true,0.0-2.0-0.2-0.22-3.22,0,0,0,90,false,stim,false,-1,1176,0,0,0,19096,task3,214000,false,false,151,image-keyboard-response,23
true,1,0,0,0,true,q,false,true,0.0-2.0-0.2-0.23-3.23,0,0,0,81,false,stim,false,-1,1030,0,0,2,19096,task3,216553,false,false,154,image-keyboard-response,24
true,1,0,0,0,true,q,false,true,0.0-2.0-0.2-0.24-3.24,0,0,0,81,false,stim,false,-1,607,0,0,1,19096,task3,218692,false,false,157,image-keyboard-response,25
true,1,1,0,1,true,z,false,true,0.0-2.0-0.2-0.25-3.25,0,0,0,90,false,stim,false,-1,1024,0,1,0,19096,task3,221247,false,false,160,image-keyboard-response,26
true,1,0,0,0,true,q,false,false,0.0-2.0-0.2-0.26-3.26,0,0,0,81,false,stim,false,-1,904,0,0,1,19096,task3,223687,false,true,163,image-keyboard-response,27
true,1,1,0,0,false,q,true,false,0.0-2.0-0.3-0.27-3.27,0,0,0,90,false,stim,false,-1,1067,0,0,1,19096,task3,226289,false,false,166,image-keyboard-response,28
true,1,1,0,1,true,z,false,false,0.0-2.0-0.3-0.28-3.28,0,0,0,90,false,stim,false,-1,2087,0,1,0,19096,task3,229911,false,true,169,image-keyboard-response,29
true,2,2,2,0,false,q,true,false,0.0-2.0-0.3-0.29-3.29,1,0,1,68,true,stim,false,0,355,0,1,2,19096,task3,231799,false,false,172,image-keyboard-response,1
true,2,1,2,1,true,z,false,true,0.0-2.0-0.3-0.30-3.30,1,0,1,90,false,stim,false,1,1627,0,1,0,19096,task3,234951,false,false,175,image-keyboard-response,2
