answered,blockNum,choice,condition,corResp,correct,correct_response,explo,fb,internal_node_id,isStable_1,isStable_2,isStable_3,key_press,newBlock,part,persev,persevResp,rt,sessNum,stableAS,stimulus,subject,task,time_elapsed,training,trap,trial_index,trial_type,trialsInBlock
true,1,1,0,2,false,d,true,false,0.0-2.0-0.0-0.0-3.0,0,0,0,90,true,stim,false,-1,793,2,0,1,75720,task3,92653,false,false,79,image-keyboard-response,1
true,1,0,0,2,false,d,true,false,0.0-2.0-0.0-0.1-3.1,0,0,0,81,false,stim,false,-1,427,2,0,1,75720,task3,94601,false,false,82,image-keyboard-response,2
true,1,0,0,2,false,d,true,false,0.0-2.0-0.0-0.2-3.2,0,0,0,81,false,stim,false,-1,719,2,0,0,75720,task3,96834,false,false,85,image-keyboard-response,3
true,1,1,0,1,true,z,false,true,0.0-2.0-0.0-0.3-3.3,0,0,0,90,false,stim,false,-1,670,2,0,2,75720,task3,99030,false,false,88,image-keyboard-response,4
true,1,1,0,2,false,d,true,false,0.0-2.0-0.0-0.4-3.4,0,0,0,90,false,stim,false,-1,671,2,0,0,75720,task3,101225,false,false,91,image-keyboard-response,5
true,1,2,0,2,true,d,false,true,0.0-2.0-0.0-0.5-3.5,0,0,0,68,false,stim,false,-1,518,2,0,0,75720,task3,103269,false,false,94,image-keyboard-response,6
true,1,2,0,2,true,d,false,true,0.0-2.0-0.0-0.6-3.6,0,0,0,68,false,stim,false,-1,839,2,0,1,75720,task3,105622,false,false,97,image-keyboard-response,7
true,1,1,0,1,true,z,false,true,0.0-2.0-0.0-0.7-3.7,0,0,0,90,false,stim,false,-1,399,2,0,2,75720,task3,107544,false,false,100,image-keyboard-response,8
true,1,1,0,1,true,z,false,true,0.0-2.0-0.0-0.8-3.8,0,0,0,90,false,stim,false,-1,644,2,0,2,75720,task3,109699,false,false,103,image-keyboard-response,9
true,1,2,0,2,true,d,false,false,0.0-2.0-0.1-0.9-3.9,0,0,0,68,false,stim,false,-1,605,2,0,0,75720,task3,111826,false,true,106,image-keyboard-response,10
true,1,1,0,2,false,d,true,false,0.0-2.0-0.1-0.10-3.10,0,0,0,90,false,stim,false,-1,453,2,0,1,75720,task3,113796,false,false,109,image-keyboard-response,11
true,1,1,0,1,true,z,false,true,0.0-2.0-0.1-0.11-3.11,0,0,0,90,false,stim,false,-1,719,2,0,2,75720,task3,116033,false,false,112,image-keyboard-response,12
true,1,2,0,2,true,d,false,true,0.0-2.0-0.1-0.12-3.12,0,0,0,68,false,stim,false,-1,1094,2,0,0,75720,task3,118642,false,false,115,image-keyboard-response,13
true,1,1,0,1,true,z,false,true,0.0-2.0-0.1-0.13-3.13,0,0,0,90,false,stim,false,-1,683,2,0,2,75720,task3,120840,false,false,118,image-keyboard-response,14
true,1,1,0,1,true,z,false,true,0.0-2.0-0.1-0.14-3.14,0,0,0,90,false,stim,false,-1,749,2,0,2,75720,task3,123121,false,false,121,image-keyboard-response,15
true,1,2,0,2,true,d,false,true,0.0-2.0-0.1-0.15-3.15,0,0,0,68,false,stim,false,-1,689,2,0,1,75720,task3,125321,false,false,124,image-keyboard-response,16
true,1,2,0,2,true,d,false,true,0.0-2.0-0.1-0.16-3.16,0,0,0,68,false,stim,false,-1,613,2,0,0,75720,task3,127445,false,false,127,image-keyboard-response,17
true,1,2,0,2,true,d,false,true,0.0-2.0-0.1-0.17-3.17,0,0,0,68,false,stim,false,-1,704,2,0,1,75720,task3,129671,false,false,130,image-keyboard-response,18
true,1,2,0,2,true,d,false,true,0.0-2.0-0.2-0.18-3.18,0,0,0,68,false,stim,false,-1,489,2,1,1,75720,task3,131689,false,false,133,image-keyboard-response,19
true,1,2,0,2,true,d,false,true,0.0-2.0-0.2-0.19-3.19,0,0,0,68,false,stim,false,-1,876,2,0,0,75720,task3,134088,false,false,136,image-keyboard-response,20
true,1,2,0,2,true,d,false,true,0.0-2.0-0.2-0.20-3.20,0,0,0,68,false,stim,false,-1,764,2,1,1,75720,task3,136383,false,false,139,image-keyboard-response,21
true,1,1,0,1,true,z,false,true,0.0-2.0-0.2-0.21-3.21,0,0,0,90,false,stim,false,-1,625,2,1,2,75720,task3,138523,false,false,142,image-keyboard-response,22
true,1,2,0,2,true,d,false,true,0.0-2.0-0.2-0.22-3.22,0,0,0,68,false,stim,false,-1,572,2,0,0,75720,task3,140614,false,false,145,image-keyboard-response,23
true,2,2,2,2,true,d,false,true,0.0-2.0-0.2-0.23-3.23,0,1,1,68,true,stim,false,2,836,2,1,1,75720,task3,142971,false,false,148,image-keyboard-response,1
true,2,2,2,0,false,q,false,false,0.0-2.0-0.2-0.24-3.24,0,1,1,68,false,stim,true,2,754,2,0,0,75720,task3,145241,false,false,151,image-keyboard-response,2
true,2,1,2,1,true,z,false,true,0.0-2.0-0.2-0.25-3.25,0,1,1,90,false,stim,false,1,604,2,1,2,75720,task3,147358,false,false,154,image-keyboard-response,3
true,2,1,2,1,true,z,false,true,0.0-2.0-0.2-0.26-3.26,0,1,1,90,false,stim,false,1,723,2,1,2,75720,task3,149596,false,false,157,image-keyboard-response,4
true,2,1,2,1,true,z,false,true,0.0-2.0-0.3-0.27-3.27,0,1,1,90,false,stim,false,1,469,2,1,2,75720,task3,151574,false,false,160,image-keyboard-response,5
true,2,1,2,0,false,q,true,false,0.0-2.0-0.3-0.28-3.28,0,1,1,90,false,stim,false,2,426,2,0,0,75720,task3,153521,false,false,163,image-keyboard-response,6
true,2,2,2,2,true,d,false,true,0.0-2.0-0.3-0.29-3.29,0,1,1,68,false,stim,false,2,1265,2,1,1,75720,task3,156308,false,false,166,image-keyboard-response,7
true,2,2,2,0,false,q,false,false,0.0-2.0-0.3-0.30-3.30,0,1,1,68,false,stim,true,2,1920,2,1,0,75720,task3,159747,false,false,169,image-keyboard-response,8
true,2,1,2,1,true,z,false,true,0.0-2.0-0.3-0.31-3.31,0,1,1,90,false,stim,false,1,831,2,0,2,75720,task3,162101,false,false,172,image-keyboard-response,9
true,2,0,2,0,true,q,false,true,0.0-2.0-0.3-0.32-3.32,0,1,1,81,false,stim,false,2,557,2,1,0,75720,task3,164183,false,false,175,image-keyboard-response,10
true,2,1,2,1,true,z,false,true,0.0-2.0-0.3-0.33-3.33,0,1,1,90,false,stim,false,1,691,2,0,2,75720,task3,166394,false,false,178,image-keyboard-response,11
true,2,2,2,2,true,d,false,true,0.0-2.0-0.3-0.34-3.34,0,1,1,68,false,stim,false,2,650,2,1,1,75720,task3,168575,false,false,181,image-keyboard-response,12
true,3,2,2,2,true,d,false,true,0.0-2.0-0.3-0.35-3.35,1,1,0,68,true,stim,false,2,1258,2,1,1,75720,task3,171364,false,false,184,image-keyboard-response,1
